https://www.cnn.com/2017/12/31/politics/obama-favorite-books-songs-2017/index.html,1514696400,CNN,Michelle Obama,0.0,['Obama', 'lady Michelle Obama', 'Barack Obama']
https://www.cnn.com/2018/01/23/politics/melania-trump-donald-trump-anniversary/index.html,1516683600,CNN,Michelle Obama,0.421236,['private Melania Trump', 'Bethesda-by-the-Sea Episcopal Church', 'John Galliano Dior']
https://www.cnn.com/2018/01/29/health/ending-child-marriage-in-america/,1517202000,CNN,Michelle Obama,0.0,['Johnson', 'child marriage', 'mother']
http://www.cnn.com/videos/politics/2018/01/23/paul-s-ryan-stormy-daniels-common-cause-ebof.cnn/video/playlists/trump--women/,1516683600,CNN,Michelle Obama,0.923869,['Trump', 'President Trump', 'Donald Trump']
http://www.foxnews.com/us/2018/01/24/threat-against-trump-gets-florida-inmate-more-prison-time.html,1516770000,Fox,Michelle Obama,0.220088,['president donald trump', 'Richard Jeremy Ware', 'then-President Barack Obama']
http://www.foxnews.com/transcript/2018/01/29/did-fisa-abuse-memo-force-mccabe-out.html,1517202000,Fox,Michelle Obama,0.182987,['ingraham', 'VIDEO CLIP', 'END VIDEO CLIP']
https://www.cnn.com/2018/02/01/politics/michelle-obama-ellen/index.html,1517461200,CNN,Michelle Obama,0.370879,['Michelle Obama', 'President Barack Obama', 'Barack Obama Chia']
https://www.cnn.com/2018/01/31/politics/michelle-obama-mini-me/index.html,1517374800,CNN,Michelle Obama,0.0,['handmade trifold poster', 'matching blue dress', 'Open House project']
https://www.cnn.com/videos/politics/2018/01/31/melania-trump-michelle-obama-tiffany-box-moos-erin-pkg.cnn,1517374800,CNN,Michelle Obama,0.0,['Tiffany gift box', 'lady Melania Trump', 'lady Michelle Obama']
https://www.cnn.com/2018/01/30/politics/melania-trump-state-of-the-union-2018/index.html,1517288400,CNN,Michelle Obama,0.391266,['White House', 'White House reception', 'Melania Trump']
https://www.cnn.com/2018/01/31/politics/melania-trump-state-of-the-union-2018/index.html,1517374800,CNN,Michelle Obama,0.0,['Melania Trump', 'White House', 'Tuesday night']
http://www.foxnews.com/politics/2018/01/31/michelle-obama-explains-awkward-gift-exchange-with-melania-trump-on-inauguration-day.html,1517374800,Fox,Michelle Obama,0.0,['Obama', 'lady Michelle Obama', 'President Barack Obama']
http://www.foxnews.com/opinion/2018/02/01/democrats-plea-mr-trump-stop-flipping-and-flopping-and-show-american-people-your-word-is-your-bond.html,1517461200,Fox,Michelle Obama,0.414998,['President Trump', 'President Trump speak', 'Michelle Obama']
http://www.foxnews.com/transcript/2018/01/29/did-fisa-abuse-memo-force-mccabe-out.html,1517202000,Fox,Michelle Obama,0.182987,['ingraham', 'VIDEO CLIP', 'END VIDEO CLIP']
https://www.cnn.com/2017/12/31/politics/obama-favorite-books-songs-2017/index.html,1514696400,CNN,Michelle Obama,0.0,['Obama', 'lady Michelle Obama', 'Barack Obama']
https://www.cnn.com/2018/01/23/politics/melania-trump-donald-trump-anniversary/index.html,1516683600,CNN,Michelle Obama,0.421236,['private Melania Trump', 'Bethesda-by-the-Sea Episcopal Church', 'John Galliano Dior']
https://www.cnn.com/2018/01/29/health/ending-child-marriage-in-america/,1517202000,CNN,Michelle Obama,0.0,['Johnson', 'child marriage', 'mother']
